Package,Version
absl-py,1.3.0
alembic,1.8.1
appdirs,1.4.4
argon2-cffi,20.1.0
astunparse,1.6.3
async-generator,1.10
attrs,20.3.0
autopage,0.5.1
backcall,0.2.0
bleach,3.3.0
boto3,1.16.7
botocore,1.19.7
cachetools,5.2.0
category-encoders,2.4.0
certifi,2020.12.5
cffi,1.14.5
chardet,4.0.0
charset-normalizer,2.1.1
click,8.1.3
cliff,4.1.0
cloudpickle,2.2.0
cmaes,0.9.0
cmd2,2.4.2
colorlog,6.7.0
convertdate,2.4.0
cycler,0.10.0
Cython,0.29.23
databricks-cli,0.17.3
dbus-python,1.2.16
decorator,5.0.6
defusedxml,0.7.1
distlib,0.3.2
distro,1.4.0
distro-info,0.23ubuntu1
docker,6.0.1
entrypoints,0.3
facets-overview,1.0.0
filelock,3.0.12
Flask,2.2.2
flatbuffers,2.0.7
gast,0.4.0
gitdb,4.0.10
GitPython,3.1.29
google-auth,2.14.1
google-auth-oauthlib,0.4.6
google-pasta,0.2.0
greenlet,2.0.1
grpcio,1.51.0
gunicorn,20.1.0
h5py,3.7.0
hijri-converter,2.2.4
holidays,0.11.3.1
idna,2.10
importlib-metadata,5.1.0
importlib-resources,5.10.0
ipykernel,5.3.4
ipython,7.22.0
ipython-genutils,0.2.0
ipywidgets,7.6.3
itsdangerous,2.1.2
jedi,0.17.2
Jinja2,3.1.2
jmespath,0.10.0
joblib,1.0.1
joblibspark,0.5.0
jsonschema,3.2.0
jupyter-client,6.1.12
jupyter-core,4.7.1
jupyterlab-pygments,0.1.2
jupyterlab-widgets,1.0.0
keras,2.7.0
Keras-Preprocessing,1.1.2
kiwisolver,1.3.1
koalas,1.8.1
korean-lunar-calendar,0.3.1
libclang,14.0.6
lightgbm,3.3.0
llvmlite,0.39.1
lxml,4.9.1
Mako,1.2.4
Markdown,3.4.1
MarkupSafe,2.1.1
matplotlib,3.4.2
mistune,0.8.4
mlflow,2.0.1
mlxtend,0.19.0
nbclient,0.5.3
nbconvert,6.0.7
nbformat,5.1.3
nest-asyncio,1.5.1
notebook,6.3.0
numba,0.56.4
numpy,1.19.2
oauthlib,3.2.2
opt-einsum,3.3.0
optuna,2.10.0
packaging,21.3
pandas,1.2.4
pandocfilters,1.4.3
parso,0.7.0
patsy,0.5.1
pbr,5.11.0
pexpect,4.8.0
pickleshare,0.7.5
Pillow,8.2.0
pip,21.0.1
plotly,5.3.1
prettytable,3.5.0
prometheus-client,0.10.1
prompt-toolkit,3.0.17
protobuf,3.17.2
psmpy,0.3.6
psycopg2,2.8.5
ptyprocess,0.7.0
pyarrow,4.0.0
pyasn1,0.4.8
pyasn1-modules,0.2.8
pycparser,2.20
Pygments,2.8.1
PyGObject,3.36.0
PyJWT,2.6.0
pymatch,0.3.4
PyMeeus,0.5.11
pyparsing,2.4.7
pyperclip,1.8.2
pyrsistent,0.17.3
python-apt,2.0.0+ubuntu0.20.4.8
python-dateutil,2.8.1
pytz,2020.5
PyYAML,6.0
pyzmq,20.0.0
querystring-parser,1.2.4
requests,2.28.1
requests-oauthlib,1.3.1
requests-unixsocket,0.2.0
rsa,4.9
s3transfer,0.3.7
scikit-learn,1.0.1
scipy,1.9.3
seaborn,0.11.1
Send2Trash,1.5.0
setuptools,52.0.0
shap,0.41.0
six,1.15.0
sklearn,0.0.post1
slicer,0.0.7
smmap,5.0.0
SQLAlchemy,1.4.44
sqlparse,0.4.3
ssh-import-id,5.10
statsmodels,0.12.2
stevedore,4.1.1
tableone,0.7.12
tabulate,0.9.0
tenacity,8.0.1
tensorboard,2.11.0
tensorboard-data-server,0.6.1
tensorboard-plugin-wit,1.8.1
tensorflow,2.7.0
tensorflow-estimator,2.7.0
tensorflow-io-gcs-filesystem,0.28.0
termcolor,2.1.1
terminado,0.9.4
testpath,0.4.4
threadpoolctl,2.1.0
tornado,6.1
tqdm,4.64.1
traitlets,5.0.5
typing-extensions,4.4.0
unattended-upgrades,0.1
urllib3,1.26.13
verstack,3.3.0
virtualenv,20.4.1
wcwidth,0.2.5
webencodings,0.5.1
websocket-client,1.4.2
Werkzeug,2.2.2
wheel,0.36.2
widgetsnbextension,3.5.1
wrapt,1.14.1
xgboost,1.7.1
zipp,3.11.0
